customer_id,segment,support_channel,response_time_hours,resolution_time_hours,contacts_last_30d,satisfaction_score,retained_next_period
C00001,SMB,Phone,34.33,65.03,4,3.63,0
C00002,Mid-Market,Phone,2.63,5.65,2,4.67,0
C00003,SMB,Email,1.52,5.64,3,3.58,0
C00004,SMB,Phone,9.79,29.21,3,4.29,0
C00005,SMB,Chat,9.05,32.61,4,3.85,0
C00006,SMB,Email,8.57,28.66,1,4.48,1
C00007,Mid-Market,Email,9.8,16.21,0,3.88,1
C00008,Mid-Market,Email,5.79,14.61,1,3.93,1
C00009,Enterprise,Phone,54.62,75.86,5,3.68,1
C00010,Mid-Market,Phone,4.83,11.53,0,4.4,1
C00011,SMB,Email,7.91,15.6,6,3.77,1
C00012,SMB,Phone,13.09,34.69,1,3.78,1
C00013,SMB,Phone,4.33,13.19,2,4.25,1
C00014,SMB,Phone,9.41,14.79,3,3.88,1
C00015,SMB,Phone,29.9,90.18,2,3.48,1
C00016,SMB,Chat,7.11,26.64,4,3.4,0
C00017,SMB,Phone,1.38,3.0,2,4.36,1
C00018,SMB,Email,18.29,35.91,0,4.2,1
C00019,SMB,Chat,20.25,39.88,3,3.51,1
C00020,Mid-Market,Email,7.26,12.21,1,4.48,1
C00021,SMB,Email,4.75,16.54,4,3.5,1
C00022,Enterprise,Phone,19.29,32.2,1,4.39,0
C00023,Mid-Market,Phone,1.33,4.16,1,4.72,0
C00024,Mid-Market,Chat,6.35,22.09,4,4.09,0
C00025,Mid-Market,Chat,25.22,85.66,1,3.14,0
C00026,Mid-Market,Email,1.96,7.36,2,3.96,0
C00027,SMB,Email,3.79,10.24,1,4.02,0
C00028,Mid-Market,Email,7.88,14.22,3,3.94,1
C00029,SMB,Email,18.54,62.17,1,3.68,1
C00030,Mid-Market,Chat,6.77,15.93,2,4.44,1
C00031,SMB,Phone,16.72,50.79,1,3.58,0
C00032,Mid-Market,Chat,34.47,97.33,4,2.71,0
C00033,Mid-Market,Email,10.83,26.27,0,3.55,0
C00034,Mid-Market,Phone,13.21,17.2,2,4.25,1
C00035,SMB,Chat,14.39,19.51,4,4.65,1
C00036,SMB,Phone,16.96,61.87,1,3.83,1
C00037,SMB,Phone,10.77,14.93,2,4.18,1
C00038,SMB,Phone,24.23,84.09,0,4.22,0
C00039,Mid-Market,Chat,2.8,8.71,3,4.45,0
C00040,Mid-Market,Email,7.47,14.74,1,4.19,1
C00041,SMB,Phone,1.89,7.07,5,4.19,1
C00042,SMB,Phone,14.99,54.35,4,4.01,1
C00043,SMB,Phone,15.12,57.05,4,3.45,1
C00044,Enterprise,Phone,1.98,5.15,3,4.43,1
C00045,Mid-Market,Phone,10.6,33.52,2,4.73,1
C00046,SMB,Email,18.88,25.91,2,3.95,1
C00047,SMB,Email,8.39,13.56,0,3.48,1
C00048,Mid-Market,Phone,27.05,50.16,2,3.43,1
C00049,SMB,Email,33.17,87.31,2,3.74,0
C00050,Enterprise,Chat,26.21,44.43,2,3.92,1
C00051,SMB,Email,15.09,39.9,3,3.53,0
C00052,Mid-Market,Chat,6.69,14.89,1,3.98,1
C00053,Enterprise,Phone,21.02,58.62,3,3.76,1
C00054,Enterprise,Phone,1.08,1.39,4,4.8,1
C00055,Enterprise,Chat,3.85,7.35,3,4.35,1
C00056,Mid-Market,Chat,16.2,50.88,3,3.99,1
C00057,Enterprise,Phone,18.34,68.01,4,3.88,0
C00058,SMB,Phone,8.17,11.04,5,3.89,1
C00059,SMB,Email,5.35,7.97,2,3.84,0
C00060,SMB,Email,19.58,73.92,1,3.58,0
C00061,Mid-Market,Email,12.95,17.29,1,4.2,1
C00062,SMB,Chat,13.1,26.51,0,4.28,1
C00063,Mid-Market,Email,2.28,4.69,6,3.84,0
C00064,Enterprise,Chat,18.31,56.99,3,3.16,0
C00065,Enterprise,Email,11.62,29.62,2,3.95,1
C00066,Mid-Market,Phone,16.59,51.28,0,4.38,0
C00067,Mid-Market,Chat,10.18,25.19,2,4.31,1
C00068,SMB,Email,13.53,31.34,0,4.03,1
C00069,SMB,Email,7.93,15.9,4,3.41,1
C00070,SMB,Phone,29.76,104.51,1,3.33,0
C00071,Mid-Market,Email,35.76,104.68,3,3.3,0
C00072,SMB,Email,19.99,43.41,1,3.46,0
C00073,SMB,Chat,33.17,125.69,1,3.06,0
C00074,SMB,Email,2.56,7.3,2,4.19,0
C00075,Enterprise,Email,18.66,61.2,5,3.98,1
C00076,SMB,Email,9.07,23.49,2,4.17,1
C00077,Enterprise,Phone,55.57,139.22,2,3.21,1
C00078,SMB,Email,24.58,51.4,4,3.08,0
C00079,Enterprise,Email,11.9,39.43,2,3.57,1
C00080,SMB,Phone,5.99,8.59,2,4.16,1
C00081,Mid-Market,Phone,9.95,27.48,7,3.96,1
C00082,Mid-Market,Phone,15.06,34.07,1,4.5,1
C00083,SMB,Chat,16.5,56.89,2,3.69,0
C00084,Enterprise,Phone,3.65,11.92,3,3.78,0
C00085,SMB,Email,13.73,22.5,2,3.6,1
C00086,SMB,Email,5.25,13.63,3,3.71,1
C00087,SMB,Chat,9.46,22.78,2,3.36,0
C00088,SMB,Email,11.35,30.27,2,3.88,1
C00089,Mid-Market,Email,9.71,27.38,2,3.51,0
C00090,SMB,Chat,11.85,36.14,3,3.4,1
C00091,Mid-Market,Email,14.0,35.01,1,4.34,0
C00092,Enterprise,Phone,17.87,24.97,6,4.29,1
C00093,SMB,Email,21.5,56.66,6,3.57,0
C00094,SMB,Email,5.88,15.49,2,4.54,1
C00095,SMB,Email,9.59,33.86,0,3.98,1
C00096,SMB,Phone,22.67,84.88,1,4.23,1
C00097,SMB,Email,6.21,14.41,5,4.19,1
C00098,SMB,Chat,15.91,26.45,5,3.81,1
C00099,Mid-Market,Email,7.56,16.46,0,4.12,1
C00100,SMB,Email,21.07,26.22,1,4.36,1
C00101,Mid-Market,Email,24.31,88.11,2,3.6,0
C00102,Mid-Market,Chat,8.46,12.61,4,3.48,1
C00103,SMB,Email,12.01,45.54,1,4.2,1
C00104,Mid-Market,Chat,10.93,33.6,1,4.37,1
C00105,Enterprise,Phone,11.98,17.08,5,3.5,0
C00106,Enterprise,Chat,10.45,25.75,1,4.19,0
C00107,Mid-Market,Phone,10.42,25.34,0,3.33,0
C00108,Enterprise,Email,5.83,20.17,3,4.41,1
